M = N,T₁,T2,S2,T4,S4,T7,S7,T8,S8,T16,S16,T20,S20,T40,S40
20000,0.389024,0.19183,2.045619,0.091099,4.273022,0.04264,9.04585,0.03809,10.199767,0.047996,8.08091,0.048776,7.989848,0.049977,7.871371
40000,1.510547,2.337294,0.657996,0.364475,4.157352,0.174569,8.893452,0.215051,7.186885,0.18862,8.21202,0.193544,7.98114,0.198268,7.789838
